name,category,cat_code,l,w,h,weight,score
Laboratory Beaker,Fragile,1,40,25,14,1,0.0
Canned Food,Common,0,57,36,31,12,1.5408
Canned Food,Common,0,25,53,22,21,1.7899999999999998
Generator,Heavy Load,2,37,19,58,47,8.1012
Monitor,Fragile,1,25,52,38,8,0.0
Shoes,Common,0,18,50,59,3,0.54
Canned Food,Common,0,35,50,53,2,0.82
Concrete Block,Heavy Load,2,11,32,44,54,8.380799999999999
Anvil,Heavy Load,2,55,40,45,72,10.0
Clothes,Common,0,55,42,44,12,1.6439999999999997
Clothes,Common,0,55,57,15,5,1.554
Wine Bottles,Fragile,1,21,39,20,13,0.0
Monitor,Fragile,1,57,38,26,5,0.0
Glass Vase,Fragile,1,38,24,55,8,0.0
Car Engine,Heavy Load,2,47,48,42,65,9.8024
Generator,Heavy Load,2,29,26,29,43,7.881600000000001
Mirror,Fragile,1,37,37,25,2,0.0
Monitor,Fragile,1,51,33,20,11,0.0
Industrial Motor,Heavy Load,2,48,13,21,75,9.749600000000001
TV Screen,Fragile,1,31,47,14,5,0.0
Paper Ream,Common,0,38,43,24,29,2.3936
Glass Vase,Fragile,1,21,20,12,14,0.0
Laboratory Beaker,Fragile,1,22,42,12,5,0.0
Safe Box,Heavy Load,2,13,44,48,30,7.0287999999999995
Wine Bottles,Fragile,1,22,20,24,14,0.0
Wine Bottles,Fragile,1,32,32,48,12,0.0
Ceramic Plates,Fragile,1,51,37,45,13,0.0
Gym Weights,Heavy Load,2,51,23,10,61,9.1292
Paper Ream,Common,0,29,55,36,12,1.3579999999999999
Monitor,Fragile,1,39,16,46,8,0.0
Mirror,Fragile,1,44,28,27,1,0.0
Glass Vase,Fragile,1,28,58,23,4,0.0
Generator,Heavy Load,2,14,37,51,63,8.9872
Monitor,Fragile,1,36,49,16,12,0.0
Glass Vase,Fragile,1,53,42,30,11,0.0
Mirror,Fragile,1,34,59,45,10,0.0
Safe Box,Heavy Load,2,37,14,59,68,9.2872
Tools,Common,0,54,53,11,18,2.2247999999999997
Concrete Block,Heavy Load,2,51,55,43,47,8.942
Steel Beam,Heavy Load,2,19,36,22,51,8.3336
Clothes,Common,0,40,50,42,23,2.1799999999999997
Safe Box,Heavy Load,2,38,24,25,45,8.0648
Gym Weights,Heavy Load,2,11,15,30,49,8.006
Plastic Toys,Common,0,21,22,34,3,0.36479999999999996
Gym Weights,Heavy Load,2,34,14,30,71,9.4504
Generator,Heavy Load,2,57,28,47,38,7.9184
Glass Vase,Fragile,1,47,15,30,3,0.0
Plastic Toys,Common,0,35,52,52,6,1.0879999999999999
Wine Bottles,Fragile,1,28,34,45,8,0.0
Wine Bottles,Fragile,1,11,46,10,4,0.0
Books,Common,0,58,21,29,23,1.8671999999999997
Cushions,Common,0,23,39,11,16,1.3188
Cushions,Common,0,15,28,16,13,0.9480000000000001
Car Engine,Heavy Load,2,42,24,58,58,8.883199999999999
Concrete Block,Heavy Load,2,24,35,46,71,9.596
Tools,Common,0,42,32,15,27,2.1576
Car Engine,Heavy Load,2,47,12,14,65,9.1256
Car Engine,Heavy Load,2,41,53,40,41,8.3292
Plastic Toys,Common,0,26,12,45,11,0.7847999999999999
Monitor,Fragile,1,29,37,41,3,0.0
Car Engine,Heavy Load,2,53,54,18,43,8.7248
Concrete Block,Heavy Load,2,47,40,48,73,10.0
Tools,Common,0,17,33,19,25,1.7244
Shoes,Common,0,58,16,34,27,1.9911999999999999
Books,Common,0,56,30,21,7,1.092
Monitor,Fragile,1,52,50,14,6,0.0
Cushions,Common,0,52,45,21,13,1.716
Safe Box,Heavy Load,2,27,54,32,45,8.283199999999999
Mirror,Fragile,1,40,38,55,14,0.0
Generator,Heavy Load,2,14,22,21,41,7.5832
Generator,Heavy Load,2,28,27,31,30,7.1024
Ceramic Plates,Fragile,1,56,51,44,6,0.0
Paper Ream,Common,0,30,18,25,4,0.45600000000000007
Generator,Heavy Load,2,34,53,59,30,7.5207999999999995
Industrial Motor,Heavy Load,2,26,23,50,78,9.9192
Cushions,Common,0,25,30,14,29,2.04
Monitor,Fragile,1,15,23,12,2,0.0
Shoes,Common,0,34,16,16,24,1.6576
Plastic Toys,Common,0,25,23,30,5,0.53
Antique Lamp,Fragile,1,29,48,29,8,0.0
Mirror,Fragile,1,22,11,44,2,0.0
Paper Ream,Common,0,16,42,50,9,0.8088
Ceramic Plates,Fragile,1,26,32,36,10,0.0
Mirror,Fragile,1,25,30,12,5,0.0
Safe Box,Heavy Load,2,48,33,47,69,9.773599999999998
Generator,Heavy Load,2,27,59,42,61,9.2972
Monitor,Fragile,1,36,27,18,3,0.0
Cushions,Common,0,19,56,41,3,0.6056
Shoes,Common,0,10,25,24,27,1.72
Glass Vase,Fragile,1,22,28,58,2,0.0
Clothes,Common,0,19,24,44,4,0.4224
Monitor,Fragile,1,30,27,18,9,0.0
Steel Beam,Heavy Load,2,10,25,58,77,9.719999999999999
Generator,Heavy Load,2,39,53,32,42,8.3468
Cushions,Common,0,27,11,11,12,0.8388
Plastic Toys,Common,0,19,55,39,24,1.8579999999999999
Steel Beam,Heavy Load,2,40,46,46,40,8.136
Gym Weights,Heavy Load,2,30,16,28,66,9.152000000000001
Clothes,Common,0,24,29,11,29,2.0183999999999997
Generator,Heavy Load,2,14,56,17,30,7.1136
Gym Weights,Heavy Load,2,28,22,24,46,8.0064
Canned Food,Common,0,46,47,47,25,2.3648000000000002
Safe Box,Heavy Load,2,26,30,22,60,8.912
Shoes,Common,0,47,11,54,3,0.3868
Concrete Block,Heavy Load,2,13,56,32,52,8.4112
Cushions,Common,0,15,53,52,16,1.278
Antique Lamp,Fragile,1,52,33,25,12,0.0
Car Engine,Heavy Load,2,43,27,22,52,8.584399999999999
TV Screen,Fragile,1,50,12,15,5,0.0
Plastic Toys,Common,0,34,17,19,3,0.4112
Industrial Motor,Heavy Load,2,47,43,32,40,8.208400000000001
Cushions,Common,0,12,44,16,18,1.2912
Industrial Motor,Heavy Load,2,48,43,40,40,8.2256
Cushions,Common,0,55,15,50,29,2.07
Wine Bottles,Fragile,1,45,53,13,8,0.0
Gym Weights,Heavy Load,2,22,26,11,53,8.4088
Glass Vase,Fragile,1,36,21,18,3,0.0
Monitor,Fragile,1,17,48,23,13,0.0
Canned Food,Common,0,56,23,16,22,1.8352
Generator,Heavy Load,2,15,17,44,42,7.622
Clothes,Common,0,11,47,53,3,0.3868
Concrete Block,Heavy Load,2,33,27,54,56,8.7164
Generator,Heavy Load,2,33,17,32,71,9.484399999999999
Wine Bottles,Fragile,1,46,45,38,12,0.0
Cushions,Common,0,47,53,21,5,1.2964
Books,Common,0,48,37,54,21,1.9704000000000002
Mirror,Fragile,1,48,45,17,13,0.0
Industrial Motor,Heavy Load,2,29,58,35,44,8.3128
Tools,Common,0,30,31,22,9,0.9120000000000001
Monitor,Fragile,1,28,53,10,7,0.0
Laboratory Beaker,Fragile,1,35,55,18,14,0.0
Clothes,Common,0,58,17,47,27,2.0143999999999997
Cushions,Common,0,30,12,55,29,1.884
Industrial Motor,Heavy Load,2,44,43,41,53,8.9368
Tools,Common,0,45,22,48,23,1.7759999999999998
Industrial Motor,Heavy Load,2,17,39,49,79,10.0
Ceramic Plates,Fragile,1,56,30,27,4,0.0
Plastic Toys,Common,0,35,15,31,27,1.83
Mirror,Fragile,1,23,44,59,7,0.0
Wine Bottles,Fragile,1,21,42,16,13,0.0
Generator,Heavy Load,2,57,42,47,54,9.1976
Canned Food,Common,0,10,36,46,13,0.924
TV Screen,Fragile,1,46,47,17,12,0.0
Concrete Block,Heavy Load,2,43,42,47,77,10.0
Plastic Toys,Common,0,48,41,21,21,2.0472
Concrete Block,Heavy Load,2,32,59,56,68,9.8352
Laboratory Beaker,Fragile,1,45,20,12,12,0.0
Safe Box,Heavy Load,2,37,22,47,66,9.285599999999999
Plastic Toys,Common,0,44,57,52,27,2.6231999999999998
Ceramic Plates,Fragile,1,20,46,32,12,0.0
Laboratory Beaker,Fragile,1,39,44,10,7,0.0
Gym Weights,Heavy Load,2,47,13,29,74,9.6844
Safe Box,Heavy Load,2,22,55,59,78,10.0
Clothes,Common,0,34,59,14,11,1.4624
Laboratory Beaker,Fragile,1,42,33,53,6,0.0
Shoes,Common,0,30,49,59,18,1.668
Generator,Heavy Load,2,34,41,38,62,9.2776
Industrial Motor,Heavy Load,2,25,40,10,43,7.9799999999999995
Steel Beam,Heavy Load,2,12,41,33,34,7.2368
TV Screen,Fragile,1,13,22,12,10,0.0
Cushions,Common,0,17,34,40,29,1.9712
Gym Weights,Heavy Load,2,44,53,30,79,10.0
Safe Box,Heavy Load,2,18,58,34,77,10.0
Plastic Toys,Common,0,27,49,50,7,0.9492
Cushions,Common,0,44,16,32,27,1.9015999999999997
Mirror,Fragile,1,15,32,56,11,0.0
Car Engine,Heavy Load,2,48,47,52,36,8.0624
Plastic Toys,Common,0,26,40,41,12,1.136
Industrial Motor,Heavy Load,2,56,44,53,77,10.0
Steel Beam,Heavy Load,2,27,56,57,32,7.524799999999999
Industrial Motor,Heavy Load,2,16,40,43,34,7.296000000000001
Gym Weights,Heavy Load,2,38,24,31,38,7.644800000000001
Car Engine,Heavy Load,2,24,23,18,59,8.7608
Gym Weights,Heavy Load,2,32,47,36,77,10.0
Safe Box,Heavy Load,2,17,23,17,66,9.1164
Anvil,Heavy Load,2,35,52,18,40,8.128
Wine Bottles,Fragile,1,24,53,23,8,0.0
Canned Food,Common,0,31,10,10,7,0.544
Industrial Motor,Heavy Load,2,50,19,29,71,9.64
Shoes,Common,0,38,59,10,10,1.4968000000000001
Cushions,Common,0,28,21,48,29,1.9751999999999998
Shoes,Common,0,54,45,46,29,2.7119999999999997
Books,Common,0,54,55,21,6,1.548
Books,Common,0,22,29,17,26,1.8152000000000001
Gym Weights,Heavy Load,2,22,58,32,51,8.570400000000001
Concrete Block,Heavy Load,2,11,33,43,36,7.305199999999999
Shoes,Common,0,22,52,33,26,2.0176
Anvil,Heavy Load,2,55,38,12,68,9.916
Antique Lamp,Fragile,1,41,11,40,13,0.0
Gym Weights,Heavy Load,2,21,40,58,52,8.456
Shoes,Common,0,30,22,39,8,0.744
Anvil,Heavy Load,2,37,45,31,33,7.646000000000001
Safe Box,Heavy Load,2,47,33,37,33,7.6004000000000005
Wine Bottles,Fragile,1,10,15,51,12,0.0
Car Engine,Heavy Load,2,21,19,38,56,8.5196
Antique Lamp,Fragile,1,40,28,20,2,0.0
Glass Vase,Fragile,1,58,51,17,12,0.0
Concrete Block,Heavy Load,2,48,52,51,40,8.3984
Car Engine,Heavy Load,2,59,56,18,73,10.0
Clothes,Common,0,33,27,58,19,1.4964
Shoes,Common,0,27,41,10,18,1.5227999999999997
Cushions,Common,0,38,14,36,8,0.6928
Cushions,Common,0,54,45,38,21,2.232
Steel Beam,Heavy Load,2,52,35,21,72,10.0
Cushions,Common,0,47,26,12,29,2.2288
Mirror,Fragile,1,47,27,10,12,0.0
Canned Food,Common,0,15,14,17,25,1.584
Industrial Motor,Heavy Load,2,49,21,31,57,8.8316
Monitor,Fragile,1,19,13,32,5,0.0
Books,Common,0,52,45,53,28,2.616
Steel Beam,Heavy Load,2,56,51,27,59,9.6824
Paper Ream,Common,0,47,28,17,18,1.6064
Mirror,Fragile,1,57,22,32,13,0.0
TV Screen,Fragile,1,44,55,17,4,0.0
Antique Lamp,Fragile,1,48,50,17,2,0.0
Mirror,Fragile,1,27,23,11,14,0.0
Shoes,Common,0,44,25,43,22,1.7600000000000002
Mirror,Fragile,1,56,13,40,2,0.0
Canned Food,Common,0,35,45,47,21,1.89
Glass Vase,Fragile,1,50,22,13,13,0.0
Steel Beam,Heavy Load,2,49,12,30,36,7.3952
Concrete Block,Heavy Load,2,16,41,27,74,9.7024
Antique Lamp,Fragile,1,55,23,13,14,0.0
Books,Common,0,53,36,37,9,1.3032
Glass Vase,Fragile,1,34,44,36,7,0.0
Gym Weights,Heavy Load,2,13,50,47,63,9.040000000000001
Glass Vase,Fragile,1,42,54,37,9,0.0
Shoes,Common,0,39,41,32,25,2.1396
Steel Beam,Heavy Load,2,30,23,31,38,7.556
Car Engine,Heavy Load,2,31,22,23,72,9.5928
Monitor,Fragile,1,14,40,38,10,0.0
Paper Ream,Common,0,26,43,52,21,1.7071999999999998
Cushions,Common,0,50,36,28,7,1.1400000000000001
TV Screen,Fragile,1,49,21,50,2,0.0
Safe Box,Heavy Load,2,30,32,39,77,10.0
TV Screen,Fragile,1,28,16,11,10,0.0
Glass Vase,Fragile,1,47,37,56,6,0.0
Car Engine,Heavy Load,2,39,24,34,57,8.7944
Car Engine,Heavy Load,2,56,15,38,64,9.175999999999998
Plastic Toys,Common,0,52,59,20,22,2.5472
Wine Bottles,Fragile,1,39,12,31,3,0.0
Safe Box,Heavy Load,2,54,36,57,72,10.0
Gym Weights,Heavy Load,2,40,36,55,38,7.856
Generator,Heavy Load,2,43,14,40,37,7.460800000000001
Industrial Motor,Heavy Load,2,42,19,48,54,8.5592
Glass Vase,Fragile,1,22,36,17,11,0.0
Wine Bottles,Fragile,1,42,40,39,2,0.0
Paper Ream,Common,0,17,35,55,3,0.418
Ceramic Plates,Fragile,1,37,38,25,10,0.0
Paper Ream,Common,0,41,37,57,21,1.8668
Plastic Toys,Common,0,25,24,37,27,1.86
Generator,Heavy Load,2,24,21,57,75,9.7016
Car Engine,Heavy Load,2,13,37,57,34,7.2324
Cushions,Common,0,10,58,13,10,0.8320000000000001
Mirror,Fragile,1,38,57,44,2,0.0
Mirror,Fragile,1,43,13,28,2,0.0
Ceramic Plates,Fragile,1,58,59,42,9,0.0
Clothes,Common,0,50,57,14,29,2.88
